init,term,distance
1,2,6
1,3,4
2,1,6
2,6,5
3,1,4
3,4,4
3,12,4
4,3,4
4,5,2
4,11,6
5,4,2
5,6,4
5,9,5
6,2,5
6,5,4
6,8,2
7,8,3
7,18,2
8,6,2
8,7,3
8,9,10
8,16,5
9,5,5
9,8,10
9,10,3
10,9,3
10,11,5
10,15,6
10,16,4
10,17,8
11,4,6
11,10,5
11,12,6
11,14,4
12,3,4
12,11,6
12,13,3
13,12,3
13,24,4
14,11,4
14,15,5
14,23,4
15,10,6
15,14,5
15,19,3
15,22,3
16,8,5
16,10,4
16,17,2
16,18,3
17,10,8
17,16,2
17,19,2
18,7,2
18,16,3
18,20,4
19,15,3
19,17,2
19,20,4
20,18,4
20,19,4
20,21,6
20,22,5
21,20,6
21,22,2
21,24,3
22,15,3
22,20,5
22,21,2
22,23,4
23,14,4
23,22,4
23,24,2
24,13,4
24,21,3
24,23,2
